seed,scenario,origin,sku,unit,forecast_quantity,realized_regular_quantity,expected_regular_quantity,project_quantity,daily_absolute_error,daily_absolute_error_expectation,input_sha256,error
101,stable,2025-07-01,SKU-001,шт,229.5,222,224.0,0,62.39285714285714,15.214285714285722,e16ac1c686e72083397e81c4ba0e67855296816c0f7e4a0a3b4605e19be0a1b9,
101,stable,2025-07-01,SKU-002,шт,465.0,464,504.0,0,103.64285714285714,46.57714285714286,e16ac1c686e72083397e81c4ba0e67855296816c0f7e4a0a3b4605e19be0a1b9,
101,stable,2025-07-01,SKU-003,шт,1088.5,1116,1120.0,0,166.25,84.50000000000003,e16ac1c686e72083397e81c4ba0e67855296816c0f7e4a0a3b4605e19be0a1b9,
101,stable,2025-07-01,SKU-004,шт,2485.5,2463,2520.0,0,157.46428571428572,184.92857142857156,e16ac1c686e72083397e81c4ba0e67855296816c0f7e4a0a3b4605e19be0a1b9,
101,stable,2026-04-01,SKU-001,шт,219.0,218,224.0,0,51.42857142857143,16.714285714285722,b9360b66d6c2a5c917c8a6bcc7aa1f1b74c12461b80bfd2152977e9814c7c851,
101,stable,2026-04-01,SKU-002,шт,487.99999999999994,488,504.0,0,92.28571428571428,38.285714285714306,b9360b66d6c2a5c917c8a6bcc7aa1f1b74c12461b80bfd2152977e9814c7c851,
101,stable,2026-04-01,SKU-003,шт,1136.5,1154,1120.0,0,131.17857142857144,77.64285714285717,b9360b66d6c2a5c917c8a6bcc7aa1f1b74c12461b80bfd2152977e9814c7c851,
101,stable,2026-04-01,SKU-004,шт,2466.0,2597,2520.0,0,274.7142857142857,187.71428571428584,b9360b66d6c2a5c917c8a6bcc7aa1f1b74c12461b80bfd2152977e9814c7c851,
101,seasonal_growth,2025-07-01,SKU-001,шт,483.5,476,439.17714486861036,0,87.60714285714286,47.347495618664,dfdf0f9e0ea249174de01dbd0ae38e436579a62679ba8601758fd00fe1e4dd87,
101,seasonal_growth,2025-07-01,SKU-002,шт,536.0,492,539.7601652556782,0,109.14285714285714,37.811049776711165,dfdf0f9e0ea249174de01dbd0ae38e436579a62679ba8601758fd00fe1e4dd87,
101,seasonal_growth,2025-07-01,SKU-003,шт,2276.0,2613,2583.4385805467687,0,375.28571428571416,315.07714176310026,dfdf0f9e0ea249174de01dbd0ae38e436579a62679ba8601758fd00fe1e4dd87,
101,seasonal_growth,2025-07-01,SKU-004,шт,3303.5,2715,2694.6245811467043,0,594.5357142857144,608.8754188532956,dfdf0f9e0ea249174de01dbd0ae38e436579a62679ba8601758fd00fe1e4dd87,
101,seasonal_growth,2026-04-01,SKU-001,шт,380.0,337,327.36326474622877,0,87.0,53.37204133722951,046150804e00dd1d5ba7632e146857b2d1cb942e7b239afa4208c83d21a439f2,
101,seasonal_growth,2026-04-01,SKU-002,шт,539.0,557,540.6483077458925,0,127.5,38.94119702258431,046150804e00dd1d5ba7632e146857b2d1cb942e7b239afa4208c83d21a439f2,
101,seasonal_growth,2026-04-01,SKU-003,шт,1761.0,2232,2284.835143479016,0,498.5714285714285,523.8351434790162,046150804e00dd1d5ba7632e146857b2d1cb942e7b239afa4208c83d21a439f2,
101,seasonal_growth,2026-04-01,SKU-004,шт,4393.0,3519,3444.1499612302823,0,886.2142857142856,948.8500387697176,046150804e00dd1d5ba7632e146857b2d1cb942e7b239afa4208c83d21a439f2,
101,intermittent,2025-07-01,SKU-001,шт,44.5,74,35.84,0,108.96428571428572,8.659999999999997,f351c27d2dcb72c6957c0f6a4f9a200b02cc2580323187f646e06e0434c944a9,
101,intermittent,2025-07-01,SKU-002,шт,100.5,45,80.64,0,117.96428571428572,19.860000000000007,f351c27d2dcb72c6957c0f6a4f9a200b02cc2580323187f646e06e0434c944a9,
101,intermittent,2025-07-01,SKU-003,шт,59.0,313,179.20000000000002,0,350.92857142857144,120.19999999999999,f351c27d2dcb72c6957c0f6a4f9a200b02cc2580323187f646e06e0434c944a9,
101,intermittent,2025-07-01,SKU-004,шт,463.49999999999994,234,403.2,0,631.2857142857142,60.29999999999995,f351c27d2dcb72c6957c0f6a4f9a200b02cc2580323187f646e06e0434c944a9,
101,intermittent,2026-04-01,SKU-001,шт,83.5,29,35.84,0,94.60714285714286,47.660000000000004,ec17b245c984593ebdd0627580a458846d6b0d5cdebdd2a2c6c891ad9975edb9,
101,intermittent,2026-04-01,SKU-002,шт,46.0,145,80.64,0,181.14285714285714,34.64,ec17b245c984593ebdd0627580a458846d6b0d5cdebdd2a2c6c891ad9975edb9,
101,intermittent,2026-04-01,SKU-003,шт,13.0,177,179.20000000000002,0,188.14285714285714,166.20000000000002,ec17b245c984593ebdd0627580a458846d6b0d5cdebdd2a2c6c891ad9975edb9,
